experiment_id,time_horizon_min,spare_battery_sets,allow_reverse,status,feasible,solution_kind,total_task_count,completed_task_count,completion_rate_pct,completed_task_ids,uncompleted_task_ids,uav_task_mapping,finish_time_min,swaps_used,drone_active_time_min,vehicle_travel_time_min,current_soc_pct,runtime_ms,expanded_labels,generated_labels,validation_passed,validation_check_count,output_directory
h120_b02,120,2,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,3,60.0,T01;T03;T04,T02;T05,U01:T01;U01:T03;U01:T04,95,2,60,50,40,4.814,217,217,True,84,h120_b02
h120_b03,120,3,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,4.237,269,269,True,98,h120_b03
h120_b04,120,4,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,6.635,278,278,True,98,h120_b04
h120_b05,120,5,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,7.956,278,278,True,98,h120_b05
h125_b02,125,2,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,3,60.0,T01;T03;T04,T02;T05,U01:T01;U01:T03;U01:T04,95,2,60,50,40,4.482,217,217,True,84,h125_b02
h125_b03,125,3,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,6.379,275,275,True,98,h125_b03
h125_b04,125,4,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,5.827,287,287,True,98,h125_b04
h125_b05,125,5,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,4.282,287,287,True,98,h125_b05
h135_b02,135,2,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,3,60.0,T01;T03;T04,T02;T05,U01:T01;U01:T03;U01:T04,95,2,60,50,40,4.922,217,217,True,84,h135_b02
h135_b03,135,3,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,5.253,277,277,True,98,h135_b03
h135_b04,135,4,False,FEASIBLE_OPTIMAL,True,FULL,5,5,100.0,T01;T02;T03;T04;T05,,U01:T01;U01:T02;U01:T03;U01:T04;U01:T05,135,4,115,50,40,4.727,294,294,True,114,h135_b04
h135_b05,135,5,False,FEASIBLE_OPTIMAL,True,FULL,5,5,100.0,T01;T02;T03;T04;T05,,U01:T01;U01:T02;U01:T03;U01:T04;U01:T05,135,4,115,50,40,6.077,294,294,True,114,h135_b05
h150_b02,150,2,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,3,60.0,T01;T03;T04,T02;T05,U01:T01;U01:T03;U01:T04,95,2,60,50,40,4.344,217,217,True,84,h150_b02
h150_b03,150,3,False,INFEASIBLE_ALL_TASKS_BEST_PARTIAL_RETURNED,False,BEST_PARTIAL,5,4,80.0,T01;T02;T03;T04,T05,U01:T01;U01:T02;U01:T03;U01:T04,115,3,90,50,40,6.758,277,277,True,98,h150_b03
h150_b04,150,4,False,FEASIBLE_OPTIMAL,True,FULL,5,5,100.0,T01;T02;T03;T04;T05,,U01:T01;U01:T02;U01:T03;U01:T04;U01:T05,135,4,115,50,40,5.601,294,298,True,114,h150_b04
h150_b05,150,5,False,FEASIBLE_OPTIMAL,True,FULL,5,5,100.0,T01;T02;T03;T04;T05,,U01:T01;U01:T02;U01:T03;U01:T04;U01:T05,135,4,115,50,40,6.141,294,299,True,114,h150_b05
